Office/Department,Location,Trick-or-treating Time,About Us,Additional Instructions
Center for Engaged Liberal Arts,Mudd A-Level,2 - 5 p.m.,"CELA program offices (Bonner Center, Career Exploration and Development, Digication Learning Portfolio, Entrepreneurship, Fellowships, Peer Advising, Study Away, Undergraduate Research, and Winter Term) support students through experiential learning opportunities. ","We are all located in Mudd A-level, ground level entrance below main library ramp entrance."
Center for Student Success,"Stevenson Hall, Room 100",10 a.m. - 2 p.m.,"The Center for Student Success offers workshops, LEAD courses, and one-on-one success coaching to help students make the most of their time at Oberlin. Come by our office on Halloween for treat bags!",
English and Economics departments,"Rice, Room 130",1 - 4:30 p.m.,"Make Rice the last stop on your trick-or-treat tour and stay for the English Department costume contest at 4:30. Walk the runway, maybe win a prize!",
Oberlin Shansi,"Peters, Room 103",1 - 4:30 p.m.,Oberlin Shansi provides grants and professional fellowships to Obies to promote engagement with communities and institutions in Asia. Shansi is one of the US's oldest international exchange organizations! We'll have guava candies and Shansi stickers at our office in Peters 103. ,"Oberlin Shansi's office is in Peters 103, which is located in the alcove nearest the elevator on the main floor of Peters Hall. Look for our bulletin board!"
Office of Student Leadership and Involvement,"Wilder, Room 111",1 - 4:30 p.m.,"Get candy, meet the staff who does all the ""fun stuff.""",
College Admissions Office,38 E College St,1 - 4:30 p.m.,We are the ones who read your application and admitted you to Oberlin! Come by to get some candy and to learn about how to become a tour guide and/or ambassador for the college!,Come to the front desk of the Admissions lobby!
Office of Environmental Sustainability ,"Service Buildling (173 W Lorain Street), Room 208 ",1 - 5 p.m.,The Office of Environmental Sustainability will have candy as well as reusable sporks and reusable straws.,
"Office of Equity, Diversity and Inclusion","Carnegie, Room 204",1 - 4:30 p.m.,Full-sized candy: am I right? And small candy when we run out of big ones. We also have all the consent stickers you could ever want and a bucket of fidgets to choose from. ,We're across from the Root Room.
Department of Geosciences,"Carnegie, 4th floor landing",1 - 3:00pm,"We thrive on all things Geo.  It is a very 'happening"" place.  Come see Rexxy!",Visit us either by stairs or elevator.
Office of Student Accounts,"Carnegie, Room 122",1 - 4:00 p.m.,We process your tuition bills and posts payments.  ,Our office is located to the left of the stairwell on the main floor of Carnegie.
